Key,english
goGameWorldDM,[42C234]Create New World[-]
goDifficultyDM,[FF4F00]Difficulty (Read me)[-]
goDifficultyDMDesc,"[9C8867]Can I play, Daddy?[-]\nEnemy HP: 90%. Enemy Projectile Speed: 80%. Enemy Hitscan Accurancy: 4.0 degrees. Biome Respawn Time: 1.3 days. LS: +16 Take less damage.\n[CF7F29]Be Gentle![-]\nEnemy HP: 100%. Enemy Projectile Speed 100%. Enemy Hitscan Accurancy: 3.7 degrees. Biome Respawn Time: 1.2 days. Lootstage: +12 \n[A2A41B]Bring it on![-]\nEnemy HP: 110%. Enemy Projectile Speed 120%. Enemy Hitscan Accurancy: 3.4 degrees. Biome Respawn Time: 1.1 days. LS: +8 GS: +4\n[42C234]Hurt Me Plenty![-]\nEnemy HP: 120%. Enemy Projectile Speed 140%. Enemy Hitscan Accurancy: 3.1 degrees. Biome Respawn Time: 1.0 days. LS: +4 GS: +8\n[780803]Ultra-Violence![-]\nEnemy HP: 130%. Enemy Projectile Speed 160%. Enemy Hitscan Accurancy: 2.8 degrees. Biome Respawn Time: 0.9 days. GameStage: +12\n[000000]I am Death Incarnate![-]\nEnemy HP: 140%. Enemy Projectile Speed 180%. Enemy Hitscan Accurancy: 2.5 degrees. Biome Respawn Time: 0.8 days. GS +16. Take more damage."
goDifficulty1DM,"[9C8867]Can I play, Daddy?[-]"
goDifficulty2DM,[CF7F29]Be Gentle![-]
goDifficulty3DM,[A2A41B]Bring it on![-]
goDifficulty4DM,[42C234]Hurt Me Plenty![-]
goDifficulty5DM,[840ACC]Ultra-Violence![-]
goDifficulty6DM,[000000]I am Death Incarnate![-]
loadingTipDM1,"You thought you killed all of the demons from Hell, but you were mistaken. And now they are taking revenge and have invaded and overrun planet Earth, most people were killed before they could escape into space. You're the only one left to fight the demonic hordes of Hell.\n\nRip and Tear, until it is done!!                              ([42C234]Tips: You can sprint in all directions! Headshots don't matter.[-])"
loadingTipDM1_title,Doom: Survival
loadingTipDM2,"You can find and earn teleporters as you survive the demon invasion, these teleporters will allow you to visit any of the 68 levels from Doom and Doom II."
loadingTipDM2_title,The Classic Levels (Optional Content)
