Key,File,Type,UsedInMainMenu,NoTranslate,KeepLoaded,english
doom_objective_clear,quests,Quest,,,,Find the Exit
xuiGameSettingsFirstDoomLevels,challenges,Quest,,,,DOOM
xuiGameSettingsSecondDoomLevels,challenges,Quest,,,,DOOM II
challengeGroupEpisodeOne,challenges,Quest,,,,Episode 1: Knee-Deep in the Dead
challengeGroupEpisodeTwo,challenges,Quest,,,,Episode 2: The Shores of Hell
challengeGroupEpisodeThree,challenges,Quest,,,,Episode 3: Inferno
challengeGroupEpisodeFour,challenges,Quest,,,,Episode 4: Thy Flesh Consumed
challengeGroupQuarterOne,challenges,Quest,,,,DOOM II: MAP01 - MAP08
challengeGroupQuarterTwo,challenges,Quest,,,,DOOM II: MAP09 - MAP16
challengeGroupQuarterThree,challenges,Quest,,,,DOOM II: MAP17 - MAP24
challengeGroupQuarterFour,challenges,Quest,,,,DOOM II: MAP25 - MAP32
challengeShelterRewardTeleporter,challenges,Quest,,,,1x Teleport
challengeBasicSurvivalRewardDoubleTeleporter,challenges,Quest,,,,2x Teleport
challengeAdvancedSurvivalRewardTeleporter,challenges,Quest,,,,3x Teleport
challengeExplorationRewardTeleporter,challenges,Quest,,,,4x Teleport
challengeExplorationRewardTeleporter,challenges,Quest,,,,10x Backpack\nBFG Location
doomNoteSelector,items,Item,,,,Teleporter (Selector)
doomNoteSelectorDesc,items,Item,,,,"This allows you to select the teleportation destination of your choice to a Classic Doom Level.\n\nWhile in a Classic Doom Level, you'll have increased movement speed but your jump height will be reduced."
doomNoteE1M1Tutorial,items,Item,,,,E1M1 Teleporter
doomNoteE1M1TutorialDesc,items,Item,,,,A teleporter pad that takes you into E1M1: Hangar.
doomNoteE1M1,items,Item,,,,E1M1 Teleporter
doomNoteE1M1Desc,items,Item,,,,A teleporter pad that takes you into E1M1: Hangar.
doom_e1m1_name,quests,Quest,,,,E1M1: Hangar
doom_e1m1_subtitle,quests,Quest,,,,E1M1: Hangar
doom_e1m1_desc,quests,Quest,,,,Find a way into E1M1 and clear it out.
doom_e1m1_offer,quests,Quest,,,,"You're about to embark on a dangerous mission.\n\nMake sure you have enough food, drink and supplies for your trip, as there's only two ways back, finding the exit, or dying.\n\n[42C234]It is recommended to have at least 2 rows of empty inventory.[-]"
doomKeyBlue,items,Item,,,,Blue Keycard
doomKeyBlueDesc,items,Item,,,,Opens blue-locked doors in DOOM levels.
doomKeyYellow,items,Item,,,,Yellow Keycard
doomKeyYellowDesc,items,Item,,,,Opens yellow-locked doors in DOOM levels.
doomKeyRed,items,Item,,,,Red Keycard
doomKeyRedDesc,items,Item,,,,Opens red-locked doors in DOOM levels.
BackpackFullAmmo,items,Item,,,,Backpack full of ammo
BackpackFullAmmoDesc,items,Item,,,,A backpack containing a small amount of 8 different types of ammo.
doom_door_locked,quests,Quest,,,,You need the {0}.
doom_door_needs,quests,Quest,,,,{0} Use {1} ([DECEA3]Locked: requires {2}[-])
doom_secret_found,quests,Quest,,,,A secret is revealed!
doom_finished,quests,Quest,,,,FINISHED
doom_kills,quests,Quest,,,,KILLS
doom_items,quests,Quest,,,,ITEMS
doom_secrets,quests,Quest,,,,SECRET
doom_time,quests,Quest,,,,TIME
doom_par,quests,Quest,,,,PAR
doom_continue,quests,Quest,,,,CONTINUE
doom_cleared,quests,Quest,,,,LEVELS CLEARED
doomNoteE1M2,items,Item,,,,E1M2 Teleporter
doomNoteE1M2Desc,items,Item,,,,A teleporter pad that takes you into E1M2: Nuclear Plant.
doom_e1m2_name,quests,Quest,,,,E1M2: Nuclear Plant
doom_e1m2_subtitle,quests,Quest,,,,E1M2: Nuclear Plant
doom_e1m2_desc,quests,Quest,,,,Find a way into E1M3 and clear it out.
doom_e1m2_offer,quests,Quest,,,,"You're about to embark on a dangerous mission.\n\nMake sure you have enough food, drink and supplies for your trip, as there's only two ways back, finding the exit, or dying.\n\n[42C234]It is recommended to have at least 2 rows of empty inventory.[-]"
doomNoteE1M3,items,Item,,,,E1M3 Teleporter
doomNoteE1M3Desc,items,Item,,,,A teleporter pad that takes you into E1M3: Toxin Refinery.\n\n[FF4F00]Warning:\nHas inescapable pit of death[-].
doom_e1m3_name,quests,Quest,,,,E1M3: Toxin Refinery
doom_e1m3_subtitle,quests,Quest,,,,E1M3: Toxin Refinery
doom_e1m3_desc,quests,Quest,,,,Find a way into E1M3 and clear it out.
doom_e1m3_offer,quests,Quest,,,,"You're about to embark on a dangerous mission.\n\nMake sure you have enough food, drink and supplies for your trip, as there's only two ways back, finding the exit, or dying.\n\n[42C234]It is recommended to have at least 2 rows of empty inventory."
doomNoteE1M4,items,Item,,,,E1M4 Teleporter
doomNoteE1M4Desc,items,Item,,,,A teleporter pad that takes you into E1M4: Command Control.
doom_e1m4_name,quests,Quest,,,,E1M4: Command Control
doom_e1m4_subtitle,quests,Quest,,,,E1M4: Command Control
doom_e1m4_desc,quests,Quest,,,,Find a way into E1M4 and clear it out.
doom_e1m4_offer,quests,Quest,,,,"You're about to embark on a dangerous mission.\n\nMake sure you have enough food, drink and supplies for your trip, as there's only two ways back, finding the exit, or dying.\n\n[42C234]It is recommended to have at least 2 rows of empty inventory.[-]"
doomNoteE1M5,items,Item,,,,E1M5 Teleporter
doomNoteE1M5Desc,items,Item,,,,A teleporter pad that takes you into E1M5: Phobos Lab.
doom_e1m5_name,quests,Quest,,,,E1M5: Phobos Lab
doom_e1m5_subtitle,quests,Quest,,,,E1M5: Phobos Lab
doom_e1m5_desc,quests,Quest,,,,Find a way into E1M5 and clear it out.
doom_e1m5_offer,quests,Quest,,,,"You're about to embark on a dangerous mission.\n\nMake sure you have enough food, drink and supplies for your trip, as there's only two ways back, finding the exit, or dying.\n\n[42C234]It is recommended to have at least 2 rows of empty inventory.[-]"
doomNoteE1M6,items,Item,,,,E1M6 Teleporter
doomNoteE1M6Desc,items,Item,,,,A teleporter pad that takes you into E1M6: Central Processing.
doom_e1m6_name,quests,Quest,,,,E1M6: Central Processing
doom_e1m6_subtitle,quests,Quest,,,,E1M6: Central Processing
doom_e1m6_desc,quests,Quest,,,,Find a way into E1M6 and clear it out.
doom_e1m6_offer,quests,Quest,,,,"You're about to embark on a dangerous mission.\n\nMake sure you have enough food, drink and supplies for your trip, as there's only two ways back, finding the exit, or dying.\n\n[42C234]It is recommended to have at least 2 rows of empty inventory.[-]"
doomNoteE1M7,items,Item,,,,E1M7 Teleporter
doomNoteE1M7Desc,items,Item,,,,A teleporter pad that takes you into E1M7: Computer Station.
doom_e1m7_name,quests,Quest,,,,E1M7: Computer Station
doom_e1m7_subtitle,quests,Quest,,,,E1M7: Computer Station
doom_e1m7_desc,quests,Quest,,,,Find a way into E1M7 and clear it out.
doom_e1m7_offer,quests,Quest,,,,"You're about to embark on a dangerous mission.\n\nMake sure you have enough food, drink and supplies for your trip, as there's only two ways back, finding the exit, or dying.\n\n[42C234]It is recommended to have at least 2 rows of empty inventory.[-]"
doomNoteE1M8,items,Item,,,,E1M8 Teleporter
doomNoteE1M8Desc,items,Item,,,,A teleporter pad that takes you into E1M8: Phobos Anomaly.
doom_e1m8_name,quests,Quest,,,,E1M8: Phobos Anomaly
doom_e1m8_subtitle,quests,Quest,,,,E1M8: Phobos Anomaly
doom_e1m8_desc,quests,Quest,,,,Find a way into E1M8 and clear it out.
doom_e1m8_offer,quests,Quest,,,,"You're about to embark on a dangerous mission.\n\nMake sure you have enough food, drink and supplies for your trip, as there's only two ways back, finding the exit, or dying.\n\n[42C234]It is recommended to have at least 2 rows of empty inventory.[-]"
doomNoteE1M9,items,Item,,,,E1M9 Teleporter
doomNoteE1M9Desc,items,Item,,,,A teleporter pad that takes you into E1M9: Military Base.
doom_e1m9_name,quests,Quest,,,,E1M9: Military Base
doom_e1m9_subtitle,quests,Quest,,,,E1M9: Military Base
doom_e1m9_desc,quests,Quest,,,,Find a way into E1M9 and clear it out.
doom_e1m9_offer,quests,Quest,,,,"You're about to embark on a dangerous mission.\n\nMake sure you have enough food, drink and supplies for your trip, as there's only two ways back, finding the exit, or dying.\n\n[42C234]It is recommended to have at least 2 rows of empty inventory.[-]"
doomNoteE2M1,items,Item,,,,E2M1 Teleporter
doomNoteE2M1Desc,items,Item,,,,A teleporter pad that takes you into E2M1: Deimos Anomaly.
doom_e2m1_name,quests,Quest,,,,E2M1: Deimos Anomaly
doom_e2m1_subtitle,quests,Quest,,,,E2M1: Deimos Anomaly
doom_e2m1_desc,quests,Quest,,,,Find a way into E2M1 and clear it out.
doom_e2m1_offer,quests,Quest,,,,"You're about to embark on a dangerous mission.\n\nMake sure you have enough food, drink and supplies for your trip, as there's only two ways back, finding the exit, or dying.\n\n[42C234]It is recommended to have at least 2 rows of empty inventory.[-]"
doomNoteE2M2,items,Item,,,,E2M2 Teleporter
doomNoteE2M2Desc,items,Item,,,,A teleporter pad that takes you into E2M2: Containment Area.
doom_e2m2_name,quests,Quest,,,,E2M2: Containment Area
doom_e2m2_subtitle,quests,Quest,,,,E2M2: Containment Area
doom_e2m2_desc,quests,Quest,,,,Find a way into E2M2 and clear it out.
